time,distance (cm)
0.0,1077
0.01,1077
0.02,1077
0.03,1077
0.04,1077
0.05,1077
0.06,1077
0.07,1077
0.08,1077
0.09,1077
0.1,1077
0.11,1077
0.12,1077
0.13,1077
0.14,1077
0.15,1077
0.16,1077
0.17,1077
0.18,1077
0.19,1077
0.2,1077
0.21,1077
0.22,1077
0.23,1077
0.24,1077
0.25,1077
0.26,1077
0.27,1077
0.28,1077
0.29,1077
0.3,1077
0.31,1077
0.32,1077
0.33,1077
0.34,1077
0.35000000000000003,1077
0.36,1077
0.37,1077
0.38,1077
0.39,1077
0.4,1077
0.41000000000000003,1077
0.42,1077
0.43,1077
0.44,1077
0.45,1077
0.46,1077
0.47000000000000003,1077
0.48,1077
0.49,1077
0.5,1077
0.51,1077
0.52,1077
0.53,1077
0.54,1077
0.55,1077
0.56,1077
0.5700000000000001,1077
0.58,1077
0.59,1077
0.6,1077
0.61,1077
0.62,1077
0.63,1077
0.64,1077
0.65,1077
0.66,1077
0.67,1077
0.68,1077
0.6900000000000001,1077
0.7000000000000001,1077
0.71,1077
0.72,1077
0.73,1077
0.74,1077
0.75,1077
0.76,1077
0.77,1077
0.78,1077
0.79,1077
0.8,1077
0.81,1077
0.8200000000000001,1077
0.8300000000000001,1077
0.84,1077
0.85,1077
0.86,1077
0.87,1077
0.88,1077
0.89,1077
0.9,1077
0.91,1077
0.92,1077
0.93,1077
0.9400000000000001,1077
0.9500000000000001,1077
0.96,1077
0.97,1077
0.98,1077
0.99,1077
1.0,1077
1.01,1077
1.02,1077
1.03,1077
1.04,1077
1.05,1077
1.06,1077
1.07,1077
1.08,1077
1.09,1077
1.1,1077
1.11,1077
1.12,1077
1.1300000000000001,1077
1.1400000000000001,1077
1.1500000000000001,1077
1.16,1077
1.17,1077
1.18,1077
1.19,1077
1.2,1077
1.21,1077
1.22,1077
1.23,1077
1.24,1077
1.25,1077
1.26,1077
1.27,1077
1.28,1077
1.29,1077
1.3,1077
1.31,1077
1.32,1077
1.33,1077
1.34,1077
1.35,1077
1.36,1077
1.37,1077
1.3800000000000001,1077
1.3900000000000001,1077
1.4000000000000001,1077
1.41,1077
1.42,1077
1.43,1077
1.44,1077
1.45,1077
1.46,1077
1.47,1077
1.48,1077
1.49,1077
1.5,1077
1.51,1077
1.52,1077
1.53,1077
1.54,1077
1.55,1077
1.56,1077
1.57,1077
1.58,1077
1.59,1077
1.6,1077
1.61,1077
1.62,1077
1.6300000000000001,1077
1.6400000000000001,1077
1.6500000000000001,1077
1.6600000000000001,1077
1.67,1077
1.68,1077
1.69,1077
1.7,1077
1.71,1077
1.72,1077
1.73,1077
1.74,1077
1.75,1077
1.76,1077
1.77,1077
1.78,1077
1.79,1077
1.8,1077
1.81,1077
1.82,1077
1.83,1077
1.84,1077
1.85,1077
1.86,1077
1.87,1077
1.8800000000000001,1077
1.8900000000000001,1077
1.9000000000000001,1077
1.9100000000000001,1077
1.92,1077
1.93,1077
1.94,1077
1.95,1077
1.96,1077
1.97,1077
1.98,1077
1.99,1077
2.0,1077
2.0100000000000002,1077
2.02,1077
2.0300000000000002,1077
2.04,1077
2.05,1077
2.06,1077
2.07,1077
2.08,1077
2.09,1077
2.1,1077
2.11,1077
2.12,1077
2.13,1077
2.14,1077
2.15,1077
2.16,1077
2.17,1077
2.18,1077
2.19,1077
2.2,1077
2.21,1077
2.22,1077
2.23,1077
2.24,1077
2.25,1077
2.2600000000000002,1077
2.27,1077
2.2800000000000002,1077
2.29,1077
2.3000000000000003,1077
2.31,1077
2.32,1077
2.33,1077
2.34,1077
2.35,1077
2.36,1077
2.37,1077
2.38,1077
2.39,1077
2.4,1077
2.41,1077
2.42,1077
2.43,1077
2.44,1077
2.45,1077
2.46,1077
2.47,1077
2.48,1077
2.49,1077
2.5,1077
2.5100000000000002,1077
2.52,1077
2.5300000000000002,1077
2.54,1077
2.5500000000000003,1077
2.56,1077
2.57,1077
2.58,1077
2.59,1077
2.6,1077
2.61,1077
2.62,1077
2.63,1077
2.64,1077
2.65,1077
2.66,1077
2.67,1077
2.68,1077
2.69,1077
2.7,1077
2.71,1077
2.72,1077
2.73,1077
2.74,1077
2.75,1077
2.7600000000000002,1077
2.77,1077
2.7800000000000002,1077
2.79,1077
2.8000000000000003,1077
2.81,1077
2.82,1077
2.83,1077
2.84,1077
2.85,1077
2.86,1077
2.87,1077
2.88,1077
2.89,1077
2.9,1077
2.91,1077
2.92,1077
2.93,1077
2.94,1077
2.95,1077
2.96,1077
2.97,1077
2.98,1077
2.99,1077
3.0,1077
3.0100000000000002,1077
3.02,1077
3.0300000000000002,1077
3.04,1077
3.0500000000000003,1077
3.06,1077
3.0700000000000003,1077
3.08,1077
3.09,1077
3.1,1077
3.11,1077
3.12,1077
3.13,1077
3.14,1077
3.15,1077
3.16,1077
3.17,1077
3.18,1077
3.19,1077
3.2,1077
3.21,1077
3.22,1077
3.23,1077
3.24,1077
3.25,1077
3.2600000000000002,1077
3.27,1077
3.2800000000000002,1077
3.29,1077
3.3000000000000003,1077
3.31,1077
3.3200000000000003,1077
3.33,1077
3.34,1077
3.35,1077
3.36,1077
3.37,1077
3.38,1077
3.39,1077
3.4,1077
3.41,1077
3.42,1077
3.43,1077
3.44,1077
3.45,1077
3.46,1077
3.47,1077
3.48,1077
3.49,1077
3.5,1077
3.5100000000000002,1077
3.52,1077
3.5300000000000002,1077
3.54,1077
3.5500000000000003,1077
3.56,1077
3.5700000000000003,1077
3.58,1077
3.59,1077
3.6,1077
3.61,1077
3.62,1077
3.63,1077
3.64,1077
3.65,1077
3.66,1077
3.67,1077
3.68,1077
3.69,1077
3.7,1077
3.71,1077
3.72,1077
3.73,1077
3.74,1077
3.75,1077
3.7600000000000002,1077
3.77,1077
3.7800000000000002,1077
3.79,1077
3.8000000000000003,1077
3.81,1077
3.8200000000000003,1077
3.83,1077
3.84,1077
3.85,1077
3.86,1077
3.87,1077
3.88,1077
3.89,1077
3.9,1077
3.91,1077
3.92,1077
3.93,1077
3.94,1077
3.95,1077
3.96,1077
3.97,1077
3.98,1077
3.99,1077
4.0,1077
4.01,1077
4.0200000000000005,1077
4.03,1077
4.04,1077
4.05,1077
4.0600000000000005,1077
4.07,1077
4.08,1077
4.09,1077
4.1,1077
4.11,1077
4.12,1077
4.13,1077
4.14,1077
4.15,1077
4.16,1077
4.17,1077
4.18,1077
4.19,1077
4.2,1077
4.21,1077
4.22,1077
4.23,1077
4.24,1077
4.25,1077
4.26,1077
4.2700000000000005,1077
4.28,1077
4.29,1077
4.3,1077
4.3100000000000005,1077
4.32,1077
4.33,1077
4.34,1077
4.3500000000000005,1077
4.36,1077
4.37,1077
4.38,1077
4.39,1077
4.4,1077
4.41,1077
4.42,1077
4.43,1077
4.44,1077
4.45,1077
4.46,1077
4.47,1077
4.48,1077
4.49,1077
4.5,1077
4.51,1077
4.5200000000000005,1077
4.53,1077
4.54,1077
4.55,1077
4.5600000000000005,1077
4.57,1077
4.58,1077
4.59,1077
4.6000000000000005,1077
4.61,1077
4.62,1077
4.63,1077
4.64,1077
4.65,1077
4.66,1077
4.67,1077
4.68,1077
4.69,1077
4.7,1077
4.71,1077
4.72,1077
4.73,1077
4.74,1077
4.75,1077
4.76,1077
4.7700000000000005,1077
4.78,1077
4.79,1077
4.8,1077
4.8100000000000005,1077
4.82,1077
4.83,1077
4.84,1077
4.8500000000000005,1077
4.86,1077
4.87,1077
4.88,1077
4.89,1077
4.9,1077
4.91,1077
4.92,1077
4.93,1077
4.94,1077
4.95,1077
4.96,1077
4.97,1077
4.98,1077
4.99,1077
5.0,1077
5.01,1077
5.0200000000000005,1077
5.03,1077
5.04,1077
5.05,1077
5.0600000000000005,1077
5.07,1077
5.08,1077
5.09,1077
5.1000000000000005,1077
5.11,1077
5.12,1077
5.13,1077
5.14,1077
5.15,1077
5.16,1077
5.17,1077
5.18,1077
5.19,1077
5.2,1077
5.21,1077
5.22,1077
5.23,1077
5.24,1077
5.25,1077
5.26,1077
5.2700000000000005,1077
5.28,1077
5.29,1077
5.3,1077
5.3100000000000005,1077
