time,distance (cm)
0.0,1006
0.01,1006
0.02,1006
0.03,1006
0.04,1006
0.05,1006
0.06,1006
0.07,1006
0.08,1006
0.09,1006
0.1,1006
0.11,1006
0.12,1006
0.13,1006
0.14,1006
0.15,1006
0.16,1006
0.17,1006
0.18,1006
0.19,1006
0.2,1006
0.21,1006
0.22,1006
0.23,1006
0.24,1006
0.25,1006
0.26,1006
0.27,1006
0.28,1006
0.29,1006
0.3,1006
0.31,1006
0.32,1006
0.33,1006
0.34,1006
0.35000000000000003,1006
0.36,1006
0.37,1006
0.38,1006
0.39,1006
0.4,1006
0.41000000000000003,1006
0.42,1006
0.43,1006
0.44,1006
0.45,1006
0.46,1006
0.47000000000000003,1006
0.48,1006
0.49,1006
0.5,1006
0.51,1006
0.52,1006
0.53,1006
0.54,1006
0.55,1006
0.56,1006
0.5700000000000001,1006
0.58,1006
0.59,1006
0.6,1006
0.61,1006
0.62,1006
0.63,1006
0.64,1006
0.65,1006
0.66,1006
0.67,1006
0.68,1006
0.6900000000000001,1006
0.7000000000000001,1006
0.71,1006
0.72,1006
0.73,1006
0.74,1006
0.75,1006
0.76,1006
0.77,1006
0.78,1006
0.79,1006
0.8,1006
0.81,1006
0.8200000000000001,1006
0.8300000000000001,1006
0.84,1006
0.85,1006
0.86,1006
0.87,1006
0.88,1006
0.89,1006
0.9,1006
0.91,1006
0.92,1006
0.93,1006
0.9400000000000001,1006
0.9500000000000001,1006
0.96,1006
0.97,1006
0.98,1006
0.99,1006
1.0,1006
1.01,1006
1.02,1006
1.03,1006
1.04,1006
1.05,1006
1.06,1006
1.07,1006
1.08,1006
1.09,1006
1.1,1006
1.11,1006
1.12,1006
1.1300000000000001,1006
1.1400000000000001,1006
1.1500000000000001,1006
1.16,1006
1.17,1006
1.18,1006
1.19,1006
1.2,1006
1.21,1006
1.22,1006
